"","tag","main_stem_quad","second_stem_quad","correct_quad"
"1",10015,102,101,102
"2",10132,102,101,102
"3",10133,102,101,102
"4",10138,102,101,102
"5",10141,102,101,102
"6",10145,102,101,102
"7",10656,114,101,114
"8",10680,116,101,116
"9",12130,121,101,121
"10",12137,121,101,121
"11",12145,121,101,121
"12",12156,122,101,122
"13",12160,122,101,122
"14",12165,122,101,122
"15",12168,122,101,122
"16",12178,122,101,122
"17",12181,122,101,122
"18",12186,122,101,122
"19",12190,122,101,122
"20",12192,122,101,122
"21",12194,123,101,123
"22",12204,123,101,123
"23",12206,123,101,123
"24",12213,123,101,123
"25",12231,124,101,124
"26",12232,124,101,124
"27",12233,124,101,124
"28",12235,124,101,124
"29",12239,124,101,124
"30",12246,124,101,124
"31",12248,124,101,124
"32",12249,124,101,124
"33",12260,125,101,125
"34",12261,125,101,125
"35",12272,125,101,125
"36",12273,125,101,125
"37",12275,125,101,125
"38",12279,125,101,125
"39",12282,125,101,125
"40",12289,125,101,125
"41",12292,125,101,125
"42",12298,126,101,126
"43",12316,126,101,126
"44",12319,126,101,126
"45",12325,126,101,126
"46",12334,127,101,127
"47",12343,127,101,127
"48",12346,127,101,127
"49",12371,128,101,128
"50",12391,129,101,129
"51",12393,129,101,129
"52",12413,129,101,129
"53",12425,129,101,129
"54",13017,102,101,102
"55",13018,102,101,102
"56",13075,102,101,102
"57",13076,102,101,102
"58",13134,119,101,119
"59",13136,127,101,127
"60",13137,127,101,127
"61",13138,127,101,127
"62",13142,127,101,127
"63",13189,123,101,123
"64",13191,123,101,123
"65",13200,128,101,128
"66",13206,128,101,128
"67",13214,129,101,129
"68",13218,129,101,129
"69",13236,129,101,129
"70",13237,129,101,129
"71",13239,129,101,129
"72",13241,129,101,129
"73",13317,102,101,102
"74",13319,102,101,102
"75",13328,102,101,102
"76",13330,102,101,102
"77",13332,102,101,102
"78",13343,102,101,102
"79",13363,102,101,102
"80",13364,102,101,102
"81",13367,102,101,102
"82",13368,102,101,102
"83",13369,102,101,102
"84",13520,124,101,124
"85",13521,124,101,124
"86",13533,123,101,123
"87",13536,123,101,123
"88",13537,126,101,126
"89",13539,125,101,125
"90",13541,126,101,126
"91",13542,126,101,126
"92",13544,127,101,127
"93",13546,127,101,127
"94",13547,127,101,127
"95",13559,127,101,127
"96",13560,127,101,127
"97",13564,127,101,127
"98",13565,127,101,127
"99",13571,126,101,126
"100",13581,127,101,127
"101",13582,127,101,127
"102",13588,126,101,126
"103",13589,126,101,126
"104",13590,126,101,126
"105",13591,126,101,126
"106",13593,127,101,127
"107",13596,127,101,127
"108",13611,123,101,123
"109",13614,123,101,123
"110",13617,125,101,125
"111",13618,125,101,125
"112",13622,127,101,127
"113",13624,127,101,127
"114",13629,127,101,127
"115",13631,127,101,127
"116",13632,127,101,127
"117",13633,127,101,127
"118",13642,123,101,123
"119",13643,123,101,123
"120",13644,123,101,123
"121",13645,123,101,123
"122",13646,125,101,125
"123",13647,125,101,125
"124",13651,127,101,127
"125",13652,127,101,127
"126",13656,127,101,127
"127",13657,127,101,127
"128",13659,127,101,127
"129",13662,127,101,127
"130",13663,127,101,127
"131",13666,127,101,127
"132",13669,127,101,127
"133",13673,127,101,127
"134",13679,127,101,127
"135",13682,127,101,127
"136",13684,127,101,127
"137",13685,127,101,127
"138",13686,127,101,127
"139",13694,127,101,127
"140",13696,128,101,128
"141",13697,128,101,128
"142",13698,128,101,128
"143",13702,127,101,127
"144",13704,127,101,127
"145",13716,127,101,127
"146",13723,127,101,127
"147",13725,128,101,128
"148",13726,128,101,128
"149",13730,127,101,127
"150",13731,127,101,127
"151",13738,127,101,127
"152",13739,127,101,127
"153",13740,127,101,127
"154",13750,128,101,128
"155",13753,128,101,128
"156",13755,128,101,128
"157",13756,128,101,128
"158",13757,128,101,128
"159",13759,128,101,128
"160",13762,128,101,128
"161",13768,128,101,128
"162",13771,128,101,128
"163",13773,128,101,128
"164",13787,128,101,128
"165",13792,128,101,128
"166",13794,128,101,128
"167",13795,128,101,128
"168",13796,128,101,128
"169",13802,128,101,128
"170",13804,128,101,128
"171",13805,128,101,128
"172",13807,128,101,128
"173",13808,128,101,128
"174",13811,128,101,128
"175",13819,128,101,128
"176",13821,128,101,128
"177",13836,128,101,128
"178",13840,128,101,128
"179",13841,128,101,128
"180",13842,128,101,128
"181",13844,128,101,128
"182",13845,128,101,128
"183",13846,128,101,128
"184",13848,128,101,128
"185",13882,129,101,129
"186",13886,129,101,129
"187",13887,129,101,129
"188",13888,129,101,129
"189",13903,129,101,129
"190",13924,129,101,129
"191",13928,129,101,129
"192",13931,129,101,129
"193",13932,129,101,129
"194",13936,129,101,129
"195",13985,132,101,132
