"","tag","table","quadrat","StemTag","dbh_current","status_current","status_previous","hom","hom_alert","notes_current"
"1",10531,"old_trees",108,1,105,"LI","A",NA,"",""
"2",121434,"old_trees",1214,1,760,"LI","A",NA,"New hom 1.5","779 mm at 1.3- at upper edge of canker"
"3",13224,"old_trees",129,1,26,"LI","A",NA,"",""
"4",170343,"old_trees",1701,1,51,"LI","A",NA,"",""
"5",191032,"old_trees",1909,1,24,"LI","A",NA,"",""
"6",22025,"old_trees",217,1,93,"LI","A",NA,"",""
"7",30330,"old_trees",306,1,41,"LI","A",NA,"",""
